Proof_cut,Viscosity,Caliper,Ink_temperature,Humifity,Roughness,Blade_pressure,Varnish_pct,Press_speed,Ink_pct,Solvent_pct,Esa_voltage,Wax,Hardener,Roller_durometer_30,Roller_durometer_33,Roller_durometer_34,Roller_durometer_35,Roller_durometer_38,Roller_durometer_40,Density_35,Density_40,Anode_ratio,class,prob,sample
55,46,0.2,17,78,0.75,20,13.1,1700,50.5,36.4,0,2.5,1,0,0,1,0,0,0,0,1,105,band,0.182,train
55,46,0.3,15,80,0.75,20,6.6,1900,54.9,38.5,0,2.5,0.7,0,0,1,0,0,0,0,1,105,noband,0.56,test
52,40,0.3,16,75,0.312,30,5.6,1467,55.6,38.8,0,2.5,1.3,0,0,0,0,0,1,0,1,108.06,noband,0.624,test
50,46,0.3,17,80,0.75,30,0,2100,57.5,42.5,5,2.3,0.6,0,0,0,1,0,0,0,1,106.67,noband,0.83,train
50,40,0.267,16.8,76,0.438,28,8.6,1467,53.8,37.6,5,2.5,0.8,0,0,0,0,0,1,0,1,103.87,noband,0.818,train
50,46,0.3,16.5,75,0.75,30,0,2600,62.5,37.5,6,2.5,0.6,1,0,0,0,0,0,0,1,106.67,noband,0.974,train
50,46,0.2,16.5,75,0.75,28,0,2600,62.5,37.5,6,2.5,1.1,1,0,0,0,0,0,0,1,106.67,noband,0.932,test
50,45,0.367,12,70,0.75,60,0,1650,60.2,39.8,1.5,3,1,0,0,0,0,0,1,0,1,103.22,band,0.278,train
65,43,0.333,16,75,1,32,22.7,1750,45.5,31.8,0,3,1,0,0,0,0,1,0,0,1,106.66,noband,0.876,train
65,43,0.2,16,68,0.75,30,15.5,1750,48.5,35.9,0,3,1,0,0,0,0,1,0,0,1,106.6,noband,0.872,train
50,50,0.367,14,80,0.75,40,10.5,1700,52.6,36.8,0,2.5,1,0,0,0,0,1,0,0,1,105,band,0.27,train
50,50,0.3,15,70,1,30,10,1600,50,40,0,2.8,1,0,0,0,0,1,0,0,1,106.66,band,0.222,train
40,45,0.3,14.5,70,0.625,25,0,1500,59.5,40.5,0,2,1,0,0,0,0,0,1,0,1,100,band,0.134,train
50,43,0.267,16,75,1,20,15.8,1600,49.5,34.7,0,2.5,1,0,0,0,0,1,0,0,1,103.22,noband,0.8,train
50,45,0.233,16,70,0.812,30,0,2400,58.8,41.2,0,1.7,1,1,0,0,0,0,0,0,1,107.4,noband,0.97,train
40,45,0.2,15,76,0.812,30,0,2400,62.5,37.5,0,1,1,1,0,0,0,0,0,0,1,107.4,noband,0.95,train
30,43,0.2,16.3,70,0.812,25,1.2,2200,58.1,40.7,4,2,1,1,0,0,0,0,0,0,1,96.875,noband,0.978,train
40,41,0.2,15.8,72,1,30,0,2000,62.5,37.5,0,2.5,1,1,0,0,0,0,0,0,1,107.4,band,0.654,test
40,42,0.2,14.5,74,1,25,8,2100,57.5,34.5,0,2.3,0.7,0,0,0,1,0,0,0,1,107.4,band,0.284,train
45,42,0.2,14,70,1,20,8,1850,57.5,34.5,0,2,0.7,0,0,0,1,0,0,0,1,107.4,band,0.216,train
50,45,0.3,15,76,1,30,8,2150,57.5,34.5,0,2.5,1,0,0,0,1,0,0,0,1,107.4,noband,0.84,train
50,45,0.3,15.2,72,1,25,5.9,2150,58.8,35.3,0,2.5,1,0,0,0,1,0,0,0,1,107.4,noband,0.892,train
30,45,0.233,17,70,0.75,35,0,2200,58.8,41.2,0,2.5,1,0,1,0,0,0,0,0,1,106.45,band,0.69,test
37.5,44,0.2,16,90,0.75,28,20,2050,45,35,0,2.4,0.8,0,0,0,1,0,0,0,1,107.4,noband,0.656,test
37.5,44,0.2,16.5,91,0.75,30,21.7,2050,43.5,34.8,0,2.7,0.8,0,0,0,1,0,0,0,1,107.4,noband,0.628,test
45,44,0.267,14.1,78,0.625,22,7.6,1510,54.3,38,0,2.5,0.7,0,0,1,0,0,0,0,1,114.28,noband,0.812,train
40,44,0.2,14,69,0.625,20,8.5,1510,53.2,38.3,2,2.5,0.9,0,0,1,0,0,0,0,1,110,noband,0.814,train
40,47,0.333,17,78,0.75,35,0,2400,58.8,41.2,4,2.5,1,1,0,0,0,0,0,0,1,100,band,0.312,train
40,43,0.267,16,96,1,28,0,1500,58.8,41.2,2,3,0.8,0,0,0,0,0,1,0,1,103.12,noband,0.726,train
32.5,43,0.2,15,82,1,31,7.6,1500,54.3,38,4,2.5,1,0,0,0,0,0,1,0,1,103.12,noband,0.85,train
37.5,44,0.3,15,85,0.75,34,0,1400,62.5,37.5,0,2.8,1,0,0,0,0,0,0,0,1,103.12,noband,0.438,test
35,44,0.3,16,80,1,32,7,1400,58.1,34.9,0,3,1,0,0,0,0,0,0,0,1,103.12,noband,0.632,test
50,43,0.2,16,82,0.875,30,0,2270,55.6,44.4,12,2,1,1,0,0,0,0,0,0,1,103.22,noband,0.912,test
50,43,0.3,16.3,80,0.812,30,0,2270,55.6,44.4,12,1.5,1.5,1,0,0,0,0,0,0,1,103.22,noband,0.918,test
60,43,0.267,15.8,57,0.75,24,1.2,1480,58.1,40.7,0,1.4,1.7,0,1,0,0,0,0,0,1,103.12,noband,0.672,test
52.5,43,0.233,16.6,58,0.75,20,7.9,1480,56.2,36,0,1.7,0.7,0,1,0,0,0,0,0,1,103.12,noband,0.852,train
50,43,0.3,17,87,0.812,35,0,2300,58.8,41.2,0,1.3,0.7,1,0,0,0,0,0,0,1,103.22,noband,0.806,train
25,38,0.2,13,75,0.625,25,0,1600,57.5,42.5,0,2.5,0.85,1,0,0,0,0,0,0,1,103.12,noband,0.416,test
25,38,0.233,14,70,0.625,25,0,1600,58.8,41.2,5,1.7,0.9,1,0,0,0,0,0,0,1,103.12,noband,0.648,test
40,46,0.333,15.9,78,0.5,34,2.4,2000,61,36.6,0,2.4,1.3,0,0,0,1,0,0,0,1,103.22,noband,0.896,train
45,41,0.333,17,78,0.75,16,14.1,1100,50.5,35.4,0,2.5,1,0,0,0,0,0,0,0,1,96.97,band,0.132,train
47.5,41,0.233,16.5,72,0.75,20,14.1,1300,50.5,35.4,4,2.5,1,0,0,0,0,0,0,0,1,96.97,band,0.214,train
40,46,0.2,15,68,0.75,28,0,1700,58.8,41.2,0,1,1,0,1,0,0,0,0,0,1,103.22,noband,0.818,train
40,46,0.267,16.5,68,0.875,25,0,1700,58.8,41.2,0,1,1,0,1,0,0,0,0,0,1,103.125,noband,0.796,test
40,35,0.233,18,85,0.625,30,0,2000,62.5,37.5,0,2.5,0.9,1,0,0,0,0,0,0,1,103.125,noband,0.496,test
35,38,0.4,12,62,0.75,46,4.7,1400,58.8,36.5,0,2,1,0,0,0,0,0,0,0,1,103.125,noband,0.552,test
35,38,0.433,16,70,0.75,50,0,1400,62.5,37.5,0,2.8,1.5,0,0,0,0,0,0,0,1,103.125,noband,0.89,train
50,46,0.2,14.6,60,0.625,25,10.5,1750,52.6,36.8,2,2.4,0.8,0,0,0,0,0,0,0,1,96.97,band,0.74,test
40,47,0.333,24.5,78,0.875,30,8.8,2100,54.9,36.3,16,2.3,1,0,0,0,0,0,1,0,1,100,band,0.566,test
40,47,0.35,14.43,76,0.75,16,7.2,2000,51.5,41.2,1,2.7,1.4,0,0,0,0,0,1,0,1,100,band,0.756,test
40,39,0.233,15,77,0.75,20,9.4,2000,52.1,38.5,0,2.5,1,0,0,0,0,0,1,0,1,103.22,noband,0.86,test
40,39,0.2,15,79,0.75,20,11.8,2000,49,39.2,0,2.5,1,0,0,0,0,0,1,0,1,103.22,noband,0.864,train
40,40,0.35,18.5,85,0.562,30,0,1900,62.5,37.5,4,1.8,1.4,0,0,0,0,0,1,0,1,106.45,band,0.216,train
42.5,41,0.3,14,70,0.625,20,2.3,1750,57.5,40,4,2.5,0.7,0,0,0,1,0,0,0,1,96.97,noband,0.848,train
35,39,0.2,16.2,84,1,30,0,2100,62.5,37.5,4,2,0.9,1,0,0,0,0,0,0,1,94.117,noband,0.604,test
50,43,0.333,14.02,68,0.75,56,7.4,1800,53.2,39.4,0,3,1.3,0,0,0,0,0,1,0,1,109.67,noband,0.866,test
67.5,45,0.2,15.5,80,0.5,34,16.3,1683,43.5,40.2,6,2.5,1,0,0,0,0,0,1,0,1,109.67,noband,0.564,test
55,37,0.267,16,75,0.625,20,5.6,1850,55.6,38.9,0,0.8,0.75,0,1,0,0,0,0,0,1,109.67,noband,0.904,train
42.5,41,0.2,14,80,0.625,20,7.4,1750,53.2,39.4,0,2.1,0.9,0,0,0,1,0,0,0,1,96.97,noband,0.76,test
49,43,0.35,14.5,74,0.75,23,9.1,1900,56.8,34.1,2,0.7,0.2,0,0,0,1,0,0,0,1,103.22,band,0.202,train
52.5,43,0.267,15.1,76,0.5,31,6.6,1650,54.9,38.5,0,2.5,1.5,0,0,0,0,0,1,0,1,109.67,noband,0.898,train
40,44,0.2,16.1,78,0.938,30,5.6,1800,55.6,38.9,0,2,1,0,0,0,1,0,0,0,1,103.22,noband,0.874,test
40,43,0.35,16.5,72,0.625,20,9.1,2000,56.8,34.1,4,2.5,0.5,0,0,0,1,0,0,0,1,103.22,noband,0.836,train
40,43,0.35,16.1,70,0.625,20,11.1,2000,55.6,33.3,4,1.8,0.9,0,0,0,1,0,0,0,1,103.22,noband,0.796,test
40,43,0.267,16,80,0.562,30,5.6,1900,55.6,38.9,0,2.2,1.3,1,0,0,0,0,0,0,1,103.22,noband,0.934,train
60,49,0.333,14.9,77,0.75,27,0,1650,58.8,41.2,0,2.5,0.7,0,1,0,0,0,0,0,1,103.33,noband,0.822,train
55,49,0.267,12.5,70,0.625,30,5.6,1750,55.6,38.9,0,2.5,0.9,0,0,1,0,0,0,0,1,106.66,band,0.228,train
55,49,0.2,15.6,74,0.75,24,0,1650,58.8,41.2,0,2.5,1.7,0,1,0,0,0,0,0,1,103.33,noband,0.68,test
40,49,0.233,15.3,74,1,34,0,2000,62.5,37.5,0,2.2,1,0,0,0,1,0,0,0,1,100,noband,0.674,test
40,49,0.233,16.8,78,0.938,30,0,2000,62.5,37.5,0,2.4,0.9,0,0,0,1,0,0,0,1,100,noband,0.83,train
42.5,46,0.3,14,77,0.625,42,15.8,1850,49.5,34.6,8,1.5,0.8,0,0,1,0,0,0,0,1,100,band,0.248,train
35,44,0.2,15.5,100,0.875,30,0,2200,53.2,46.8,0,0,0,1,0,0,0,0,0,0,1,100,band,0.76,test
42,44,0.3,15,80,1.25,20,16.7,1300,49,34.3,0,2.5,0.2,0,0,0,0,0,1,0,1,110,noband,0.748,train
45,44,0.3,15.5,75,1.25,20,14.1,1300,50.5,35.4,0,2.5,1.5,0,0,0,0,0,1,0,1,110,noband,0.598,test
50,43,0.3,16,70,0.812,30,3.4,2400,56.8,39.8,0,2.5,0.8,1,0,0,0,0,0,0,1,103.125,noband,0.99,train
47,43,0.267,16,80,0.562,30,9.1,2400,50.5,40.4,0,2.5,1.1,1,0,0,0,0,0,0,1,103.125,noband,0.982,train
35,48,0.233,16,76,0.812,30,8.9,1900,49.5,41.6,0,2.5,1.2,1,0,0,0,0,0,0,1,103.22,noband,0.74,test
35,48,0.233,16,86,0.562,30,16.1,1900,44.6,39.3,0,2.5,1.5,1,0,0,0,0,0,0,1,103.22,noband,0.692,test
47.5,68,0.4,14,78,0.75,22,0,1900,62.5,37.5,0,2.1,1.7,0,1,0,0,0,0,0,1,103.125,band,0.252,train
40,60,0.233,15,78,1,28,0,2380,60,40,3,2.5,1,1,0,0,0,0,0,0,1,106.66,band,0.362,train
40,55,0.433,15.5,92,0.75,22,9.6,1550,53.2,37.2,1,2.9,1.3,0,1,0,0,0,0,0,1,106.66,band,0.778,test
42.5,52,0.4,13.9,76,0.625,25,0,1800,50,50,0,2.5,0.9,0,0,0,0,0,1,0,1,106.66,band,0.408,test
50,56,0.267,15.2,76,0.625,25,3.4,1760,56.8,39.8,2,2.5,0.8,0,0,1,0,0,0,0,1,103.125,band,0.174,train
45,57,0.267,14,76,0.75,20,3.4,1800,56.2,40.4,2,2,0.8,0,0,1,0,0,0,0,1,103.125,band,0.15,train
47,67,0.4,16,74,0.812,38,0,1900,58.8,41.2,2,2.5,1.1,0,1,0,0,0,0,0,1,103.125,noband,0.762,train
