CRIM,ZN,INDUS,CHAS_1,NOX,RM,AGE,DIS,RAD_3,RAD_4,RAD_5,RAD_6,RAD_24,TAX,PTRATIO,B,LSTAT,class,prob,sample
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,0,0,0,0,0,296,15.3,396.9,4.98,1,0.9979067561438627,test
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,0,0,0,0,0,242,17.8,396.9,9.14,1,0.9860337014229869,train
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,0,0,0,0,0,242,17.8,392.83,4.03,1,0.9999611427357756,train
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,1,0,0,0,0,222,18.7,394.63,2.94,1,0.9999940811525866,test
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,1,0,0,0,0,222,18.7,396.9,5.33,1,0.999909515598605,train
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,1,0,0,0,0,222,18.7,394.12,5.21,1,0.9999243859033544,train
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,0,0,1,0,0,311,15.2,395.6,12.43,1,0.9890676801704432,train
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,0,0,1,0,0,311,15.2,396.9,19.15,1,0.8046200066335452,train
0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,0,0,1,0,0,311,15.2,386.63,29.93,0,0.016646607417994667,test
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,0,0,1,0,0,311,15.2,386.71,17.1,0,0.051488220245240655,train
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,0,0,1,0,0,311,15.2,392.52,20.45,0,0.5357673421469875,test
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,0,0,1,0,0,311,15.2,396.9,13.27,0,0.17143643727207647,train
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,0,0,1,0,0,311,15.2,390.5,15.71,1,0.8432232682830497,train
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,0,1,0,0,0,307,21,396.9,8.26,0,9.15949854480576e-5,train
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,0,1,0,0,0,307,21,380.02,10.26,0,6.182837006309568e-5,test
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,0,1,0,0,0,307,21,395.62,8.47,0,7.76631916915041e-5,train
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,0,1,0,0,0,307,21,386.85,6.58,1,0.9889540000669578,train
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,0,1,0,0,0,307,21,386.75,14.67,0,5.847915430561829e-5,test
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,0,1,0,0,0,307,21,288.99,11.69,0,0.003164182088287709,train
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,0,1,0,0,0,307,21,390.95,11.28,0,5.777564370983649e-5,train
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,0,1,0,0,0,307,21,376.57,21.02,0,4.134929287382068e-4,train
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,0,1,0,0,0,307,21,392.53,13.83,0,5.825060232057392e-5,train
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,0,1,0,0,0,307,21,396.9,18.72,0,1.1326944670678207e-4,train
