x.box,y.box,width,high,onpix,x.bar,y.bar,x2bar,y2bar,xybar,x2ybr,xy2br,x.ege,xegvy,y.ege,yegvx,class,prob,sample
2,4,4,3,2,7,8,2,9,11,7,7,1,8,5,6,N,0.002,train
4,7,5,5,5,5,9,6,4,8,7,9,2,9,7,10,N,0,test
7,10,8,7,4,8,8,5,10,11,2,8,2,5,5,10,N,0,test
4,9,5,7,4,7,7,13,1,7,6,8,3,8,0,8,N,0,test
6,7,8,5,4,7,6,3,7,10,7,9,3,8,3,7,N,0.002,train
4,7,5,5,3,4,12,2,5,13,7,5,1,10,1,7,N,0.002,test
6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,N,0.002,test
1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,N,0,train
5,9,7,6,7,7,7,2,4,9,8,9,7,6,2,8,N,0,train
1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,N,0.002,test
2,7,4,5,1,9,8,4,2,5,13,8,3,10,0,8,N,0.006,test
3,11,5,8,3,13,4,5,3,12,1,8,2,6,4,9,N,0,test
3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,N,0,test
3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7,N,0,test
8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,8,N,0,test
7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,N,0.002,test
5,5,5,7,3,3,7,6,12,7,6,15,0,8,7,6,N,0.054,test
2,4,5,3,2,7,8,2,9,11,7,7,1,8,5,6,N,0.002,test
4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8,N,0,test
4,6,4,7,5,8,8,6,2,7,7,11,3,9,5,8,N,0,test
5,10,7,9,3,8,5,9,8,6,4,8,3,8,4,8,N,0,test
3,7,3,5,1,1,1,5,5,0,1,6,0,8,0,8,N,0,test
1,1,2,1,0,7,9,4,2,7,13,8,2,10,0,8,N,0.01,test
2,1,3,2,1,8,7,3,8,6,6,8,2,8,5,8,N,0,test
8,9,10,8,12,7,6,5,5,7,6,8,7,10,6,9,N,0.022,test
5,10,8,7,11,9,6,2,2,8,4,8,10,5,3,6,N,0.002,test
5,6,5,4,3,4,9,1,7,10,10,6,1,10,2,4,N,0.006,test
2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,N,0,train
3,8,5,6,5,7,7,4,8,7,7,8,3,8,5,10,N,0.004,test
4,7,6,5,4,11,7,3,5,10,1,4,5,9,1,7,N,0,test
4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8,N,0,test
3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,N,0,test
4,8,5,6,4,9,9,6,4,7,5,8,3,8,10,7,N,0,train
3,5,5,3,2,5,9,3,4,10,8,8,5,8,0,7,N,0,train
4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8,N,0,train
4,9,6,7,7,6,8,1,4,10,8,7,6,11,4,5,N,0.002,test
6,9,5,4,2,6,9,4,5,4,4,10,5,10,2,8,N,0.07,test
3,4,4,7,1,0,1,6,6,0,0,6,0,8,0,8,N,0,train
4,5,6,4,3,7,8,2,5,10,6,6,5,9,1,7,N,0,train
1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,N,0,test
6,9,6,4,3,7,6,4,4,9,9,5,3,10,4,4,N,0.008,test
0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,N,0,test
8,11,8,8,9,4,10,2,3,9,8,7,9,13,3,5,N,0.038,test
2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,P,0.986,test
6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9,N,0,test
3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5,N,0,test
4,5,6,4,4,7,6,5,5,8,5,8,3,7,5,6,N,0.026,test
4,7,6,10,9,8,9,4,0,8,7,6,5,11,5,7,N,0.026,test
2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7,N,0.012,train
3,7,4,5,2,6,6,6,6,10,8,11,2,10,4,9,N,0,test
4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9,N,0.004,train
3,4,4,3,3,5,7,4,7,7,6,11,3,8,5,9,N,0,test
8,8,8,6,5,3,10,3,4,11,10,8,8,10,2,6,N,0.002,test
2,6,4,4,2,9,11,3,4,4,11,8,2,10,1,8,N,0,train
4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,N,0.002,test
5,11,7,8,7,6,6,6,5,6,5,8,6,6,7,10,N,0,train
4,9,4,7,4,7,8,3,12,9,6,8,0,8,7,7,N,0,test
1,4,2,3,1,9,6,2,6,12,4,9,1,7,1,7,N,0,train
2,4,4,3,1,5,11,3,4,13,7,4,1,9,1,7,N,0,test
5,10,7,8,6,7,7,8,5,7,6,5,4,8,3,7,N,0.004,test
3,5,5,4,2,8,7,3,8,11,5,7,1,9,5,8,N,0,test
8,13,7,8,3,7,8,3,9,13,5,6,2,9,5,5,N,0.002,test
4,9,5,7,5,8,9,8,4,7,8,7,4,7,4,9,N,0,test
2,6,3,4,3,8,7,5,9,7,7,7,1,8,7,8,N,0.002,test
