Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Rawah_Wilderness_Area_1,Comanche_Peak_Wilderness_Area_1,Cache_la_Poudre_Wilderness_Area_1,Soil_Type_10_1,Soil_Type_12_1,Soil_Type_22_1,Soil_Type_23_1,Soil_Type_29_1,Soil_Type_30_1,Soil_Type_32_1,Soil_Type_33_1,dup_Elevation,dup_Aspect,dup_Slope,dup_Horizontal_Distance_To_Hydrology,dup_Vertical_Distance_To_Hydrology,dup_Horizontal_Distance_To_Roadways,dup_Hillshade_9am,dup_Hillshade_Noon,dup_Hillshade_3pm,dup_Horizontal_Distance_To_Fire_Points,dup_Rawah_Wilderness_Area_1,dup_Comanche_Peak_Wilderness_Area_1,dup_Cache_la_Poudre_Wilderness_Area_1,dup_Soil_Type_10_1,dup_Soil_Type_12_1,dup_Soil_Type_22_1,dup_Soil_Type_23_1,dup_Soil_Type_29_1,dup_Soil_Type_30_1,dup_Soil_Type_32_1,dup_Soil_Type_33_1,class,prob,sample
495,42,136,251,290,294,834,869,574,247,1,0,0,0,1,0,0,0,0,0,0,652,913,151,577,337,220,771,897,676,360,0,1,0,0,0,0,0,0,0,1,0,-1,8.615145507008681e-8,test
529,916,151,21,228,679,771,897,673,260,1,0,0,0,0,0,1,0,0,0,0,525,150,91,77,227,686,881,893,543,552,1,0,0,0,0,0,1,0,0,0,0,-1,3.9244951472398475e-10,train
672,624,76,21,223,704,838,964,665,42,1,0,0,0,0,0,0,0,0,0,0,403,258,242,43,214,142,960,838,370,295,1,0,0,0,0,0,0,0,1,0,0,-1,2.984920855567722e-8,train
401,400,151,86,243,205,924,936,523,759,1,0,0,0,0,0,0,1,0,0,0,707,253,197,202,356,493,944,857,417,84,0,1,0,0,0,0,0,0,0,1,0,-1,2.3508598821664913e-6,train
614,230,212,154,274,468,940,846,409,114,1,0,0,0,0,0,0,1,0,0,0,667,172,197,303,280,649,905,838,444,361,1,0,0,0,0,0,0,1,0,0,0,-1,8.91981247363792e-11,train
660,264,272,183,248,743,968,826,338,399,1,0,0,0,0,0,0,1,0,0,0,461,125,91,319,306,98,873,889,547,355,1,0,0,0,0,0,0,1,0,0,0,-1,2.270725322252939e-8,test
780,33,197,468,511,108,814,842,562,125,0,0,0,0,0,0,0,0,0,0,0,695,574,394,386,261,240,763,995,712,492,1,0,0,0,0,0,0,1,0,0,0,-1,1.7119654961082607e-10,test
446,92,151,182,261,360,857,861,535,951,1,0,0,0,0,0,0,0,0,0,0,543,67,121,442,263,400,850,873,562,184,0,1,0,0,0,0,0,0,0,0,0,-1,3.4846844934260343e-4,train
707,219,394,130,289,343,956,716,0,69,0,1,0,0,0,0,0,0,0,0,0,688,444,76,107,234,478,885,948,590,268,1,0,0,0,0,0,0,0,0,0,0,-1,6.2915954577378415e-9,train
527,283,167,339,275,418,940,885,456,284,1,0,0,0,0,0,0,1,0,0,0,615,64,106,61,226,545,850,885,570,150,1,0,0,0,0,0,0,1,0,0,0,-1,2.561399182125652e-9,test
612,844,151,215,241,301,755,924,720,337,0,1,0,0,0,0,0,0,0,1,0,626,486,333,713,431,455,889,964,551,282,0,1,0,0,0,0,0,0,0,0,1,-1,6.775253528916072e-7,test
686,25,91,154,267,107,842,897,598,260,0,0,0,0,0,0,1,0,0,0,0,371,946,167,173,287,167,775,881,649,181,0,1,0,0,0,0,0,0,0,0,0,-1,1.3749335161094601e-6,test
692,211,30,122,266,361,873,924,590,381,1,0,0,0,0,0,0,1,0,0,0,606,191,91,21,226,353,889,897,535,269,0,1,0,0,0,0,0,0,0,1,0,-1,4.880975599954503e-9,test
552,963,136,89,248,297,802,889,633,356,0,1,0,0,0,0,0,0,0,1,0,423,877,288,96,297,293,653,865,759,322,0,1,0,1,0,0,0,0,0,0,0,-1,9.217494620274407e-5,test
723,405,136,310,315,197,916,940,543,301,0,1,0,0,0,0,0,0,0,1,0,517,50,136,265,288,304,838,869,566,333,1,0,0,0,0,0,0,1,0,0,0,-1,6.6534357189289695e-9,test
535,11,167,506,294,103,810,865,594,155,0,1,0,0,0,0,0,0,0,0,0,633,935,151,408,161,575,775,885,657,604,1,0,0,0,0,0,1,0,0,0,0,-1,4.0429508941533125e-8,test
660,314,121,173,339,159,920,912,507,169,1,0,0,0,0,0,0,0,1,0,0,694,483,257,287,323,544,897,968,566,102,0,1,0,0,0,0,0,0,0,0,1,-1,9.882670486116748e-10,test
487,211,151,215,288,247,912,873,476,283,1,0,0,0,0,0,0,1,0,0,0,510,200,272,346,316,90,932,802,358,107,0,1,0,0,0,0,0,0,0,0,1,-1,6.710923436112453e-7,train
573,239,182,89,258,139,932,869,444,381,1,0,0,0,0,0,0,1,0,0,0,611,913,242,68,245,425,708,861,700,81,1,0,0,0,0,0,1,0,0,0,0,-1,3.445258065012169e-11,train
419,194,167,262,314,341,912,857,460,322,0,1,0,1,0,0,0,0,0,0,0,547,663,227,77,196,364,751,991,771,26,0,1,0,0,0,0,0,0,0,1,0,-1,0.012187841925916189,test
686,749,182,570,259,476,739,960,767,148,0,1,0,0,0,0,0,0,0,0,0,729,619,151,172,252,160,818,983,700,205,0,1,0,0,0,0,0,0,0,1,0,-1,1.921951886038201e-6,test
672,755,136,43,203,516,775,956,728,232,1,0,0,0,0,1,0,0,0,0,0,536,946,288,43,240,542,696,822,661,361,1,0,0,0,0,0,0,1,0,0,0,-1,1.6597972363201044e-11,test
499,397,182,61,234,437,936,932,500,440,1,0,0,0,0,0,0,0,1,0,0,338,938,454,154,262,122,562,724,673,245,0,1,0,1,0,0,0,0,0,0,0,-1,1.3639024622015374e-4,test
332,64,439,68,270,167,743,649,385,202,0,1,0,1,0,0,0,0,0,0,0,728,344,333,250,249,164,987,857,330,396,1,0,0,0,0,1,0,0,0,0,0,-1,1.176147810077062e-6,train
570,178,151,325,197,236,905,861,480,167,0,1,0,0,0,0,0,0,0,1,0,705,0,76,349,263,839,838,909,614,114,1,0,0,0,0,1,0,0,0,0,0,-1,1.5201881134052525e-9,test
428,985,409,48,275,373,653,712,570,928,1,0,0,0,0,0,0,1,0,0,0,561,896,106,136,236,721,794,916,669,872,1,0,0,0,0,0,0,1,0,0,0,-1,1.4178698703147267e-8,test
491,888,197,64,244,163,735,897,712,198,0,1,0,0,0,0,1,0,0,0,0,506,355,76,68,259,364,901,928,555,347,1,0,0,0,0,0,0,1,0,0,0,-1,3.273112459150254e-7,test
511,22,76,77,231,518,842,905,602,498,1,0,0,0,0,0,0,1,0,0,0,495,300,182,182,240,537,944,889,448,849,1,0,0,0,1,0,0,0,0,0,0,-1,3.049151444252024e-8,train
628,219,182,172,318,719,928,857,441,80,1,0,0,0,0,0,0,1,0,0,0,553,136,242,195,296,644,885,798,425,618,1,0,0,0,0,0,1,0,0,0,0,-1,2.0245578520638586e-10,train
720,300,91,298,323,427,909,916,535,461,0,1,0,0,0,0,0,0,0,1,0,207,763,257,107,265,234,676,952,818,113,0,0,1,0,0,0,0,0,0,0,0,-1,9.18274005944762e-4,test
700,952,167,116,263,220,775,877,645,125,0,1,0,0,0,0,0,0,0,0,0,501,405,212,0,223,437,936,936,500,384,1,0,0,0,0,0,1,0,0,0,0,-1,3.9146142967724817e-8,test
627,258,288,136,270,493,968,818,326,419,1,0,0,0,0,0,0,1,0,0,0,581,241,242,129,236,143,952,838,382,135,1,0,0,0,0,0,0,1,0,0,0,-1,1.0138984144889104e-9,test
77,86,227,107,281,42,846,806,484,53,0,0,1,0,0,0,0,0,0,0,0,46,902,621,68,301,12,358,637,751,25,0,0,1,1,0,0,0,0,0,0,0,1,0.9994728038613044,train
